tenure,monthly_charges,total_charges,tech_support,contract_type,churn
15,103.15407863376656,1610.5604127561255,0,0,1
45,37.73265532239394,1746.552827881897,0,0,0
65,92.30716360496689,5998.509081898598,0,2,1
71,97.26709881281666,6894.239903878639,0,0,1
9,91.48995340913137,821.5512646216959,0,2,1
1,77.89776465541452,139.16021490425032,0,0,1
8,21.460899710888285,209.70546907817538,0,0,1
63,56.03754923631707,3511.0777519068106,0,0,0
11,80.48394293625812,864.7776085093195,0,0,1
8,58.74512959225387,445.8762843009967,0,0,1
35,106.34798949128131,3668.948000517231,1,0,1
35,50.880227534961534,1848.399875510923,1,0,1
33,49.35347924586604,1589.2736277262575,0,0,0
5,46.599769309265795,257.51264982966666,0,1,1
41,53.27808689607955,2151.3301808233696,0,2,1
28,75.74049643141872,2096.8727059780563,0,2,1
7,90.70152942725908,629.216667654665,0,1,0
12,86.2567917738785,1062.3436225282526,1,2,0
34,100.77178199814796,3413.2793938477566,0,0,1
33,108.59139954974249,3526.5559265606357,0,0,1
48,101.60790423433512,4878.133469802041,0,0,1
23,21.89454033743546,465.24083780143405,0,1,1
62,93.59179535519887,5879.883227368056,0,2,0
37,40.83995736183316,1498.0811972641973,0,1,1
44,33.292804270798264,1431.484921011567,0,0,0
35,83.84887847991355,3033.4507867796415,0,1,1
65,51.97431954076949,3415.275255272141,1,0,1
47,25.711716337044326,1163.6119621508724,0,0,0
3,33.76297343983613,61.743217319678195,0,1,1
1,20.092941686996106,43.802090741530186,0,0,0
5,110.32236273447073,553.7856287240985,0,0,0
14,22.46179838412386,358.9739545137578,0,1,0
27,40.94557695095111,1072.3967626261008,0,1,1
9,61.62627806879073,589.6919588590405,0,0,1
15,55.65713259508191,722.9425718708266,0,0,1
42,111.17258769127757,4661.52658957072,0,2,1
51,24.02889457345421,1194.614665945628,0,0,1
63,71.22147076770516,4464.200327332054,0,0,1
52,88.0479462524374,4573.349472820441,0,0,1
4,113.16979736811687,509.6043714521523,0,1,1
23,82.0371252123721,1829.151885918506,0,0,0
15,100.37552360117627,1396.230703797144,0,0,0
43,28.37249378453484,1168.1145541794174,0,0,1
29,58.59395109369274,1750.3463783134973,1,0,0
36,57.394713447906746,1983.9601173500641,0,0,1
13,108.62882164557176,1383.577299363189,1,1,1
32,35.137117126327496,1166.3666167830715,0,2,1
71,35.188617233663024,2495.470396427357,0,2,1
59,52.855814988579844,3174.928420368727,0,1,1
28,25.44660473668376,610.7601584546701,0,1,1
66,38.245804065249004,2508.1426139298837,0,2,1
42,116.52096385457352,4960.739340209838,0,2,1
45,62.81839398671728,2770.4836470956693,1,2,1
62,83.20192084224365,5210.259584388511,0,0,1
57,92.6111259344637,5267.049659111423,0,0,0
6,56.69614070072005,361.88331545711645,1,2,0
28,34.722707441051696,1035.4686537005746,1,2,1
28,40.65810162217808,1159.9186529733906,0,1,0
44,51.326647658061034,2228.8100189862175,0,2,0
30,83.60684203522257,2536.3083986629385,0,1,1
62,59.82805490890544,3676.2494120880874,0,1,0
62,20.681469790012812,1295.9194696200639,0,0,0
1,72.34071850674718,9.748570535508549,0,1,1
27,112.1513391907418,3029.540891820643,0,1,0
62,101.2077611008679,6334.345842168247,1,2,0
3,102.52113712596311,292.6249252496364,1,0,1
70,99.50580176061311,7020.090645185383,0,2,1
27,52.37308256104237,1568.744705681689,0,2,0
9,96.5193833754392,867.2270846383923,0,0,1
62,34.3161357811193,2158.310026241496,0,0,0
37,85.77161472759535,3197.3928741651307,0,1,1
51,84.15685666849944,4303.254873052176,1,0,0
44,22.556979908973467,1031.9019172027774,0,1,0
24,98.79701335909316,2358.7235690246025,0,0,1
59,110.32481050951306,6476.036615047544,0,0,1
32,46.74152784721076,1419.412752539219,1,0,1
52,101.2390724186151,5247.293841113644,1,0,1
62,28.24059718619482,1795.988733800847,1,0,0
58,79.9967858261066,4592.823722354527,0,2,1
52,68.56468653342772,3577.697594564879,0,0,0
12,74.59235333090001,888.9527467942536,0,2,0
39,112.62052018843451,4361.164381196815,0,2,1
2,107.13152472468535,121.61103296170737,1,2,1
3,98.5083657239757,363.66783212796645,0,0,0
56,47.3698457678371,2678.5708895180464,0,1,1
59,111.18186286860916,6692.994300633403,0,0,1
2,29.750769246387527,113.47218919065213,0,0,0
2,105.33292165587878,277.69304224418494,0,2,0
54,52.81600723536078,2764.596704158312,0,0,1
1,25.377231166198335,-62.96453706187963,0,2,1
19,86.93569842407483,1653.8938731100511,0,1,1
2,43.12799283159555,28.850214489125477,1,0,1
53,44.35711258646319,2316.8626247403477,0,0,0
44,50.60471662287715,2352.9207404128433,0,1,1
32,26.368476750251673,903.2850645921466,0,1,0
70,37.7127144198254,2593.1072322711884,0,1,0
32,20.51396275855603,538.1407825952991,1,0,1
68,64.54095211057867,4337.7878766141475,0,0,1
55,28.42553774179713,1535.5448536519061,0,0,0
56,88.2652605044199,4926.791404784511,1,0,1
17,43.56228511916484,676.6065344719713,1,0,0
38,114.35741440351771,4402.074276950212,0,0,0
24,107.12516273986526,2535.430866063854,0,0,0
69,48.94408949682082,3409.571058910772,0,1,0
70,98.32154546566787,6885.202553691302,1,1,0
11,100.32449046648063,1150.493247885589,0,0,1
16,118.65631141144104,1886.6049661609043,0,1,1
59,79.7839986845685,4661.006600456643,0,1,0
70,28.196573464366217,1943.830782300537,0,1,1
3,84.6837228926381,224.82691296002406,1,1,1
20,82.49797483760352,1753.1870243308822,1,0,0
59,83.83505774204318,4950.093670372512,0,0,0
36,50.71456481042115,1825.9559739103554,0,0,1
19,105.96795850803329,2057.49253868806,0,0,1
67,115.94721829554119,7768.460133063553,1,1,1
19,41.771251297815155,849.7375906242064,1,2,1
20,28.815215813664445,557.7004282382333,1,0,1
71,39.45350331684841,2777.516747975603,1,1,1
52,102.05521392557188,5257.857449328996,0,2,1
33,87.66446348198475,2985.429661408032,1,0,1
40,83.60473423391267,3340.6981281682265,0,2,0
39,60.17931351094245,2288.291103945681,0,0,1
1,77.78279715114357,87.62415825010447,0,2,0
11,50.78741252743674,526.1588439486321,0,0,1
57,67.72000794179613,3840.5603911096823,1,0,0
50,99.30630283706559,4980.852813439666,0,1,1
23,118.12415974554621,2792.904936160268,1,2,1
31,113.24889235898019,3515.7949310370377,0,0,1
42,113.38659428462488,4726.685121431487,0,1,0
7,60.22237348471124,396.3108722782673,0,1,1
16,66.87898805067908,1102.8861681563887,0,0,1
60,90.56353963689816,5335.895332424542,0,0,0
2,112.21919280512843,172.30427179545225,0,0,1
1,34.19942593520847,44.83172974507548,1,0,0
48,50.424186382719576,2335.027467501802,0,1,0
12,33.924684459410955,391.47031955618826,0,2,0
69,81.20085299594552,5578.945604937366,1,1,0
37,50.63009968875375,1917.1861145876724,0,2,1
32,52.61078525125735,1671.0310113842752,0,0,0
9,27.091595948797924,303.1589326693337,0,0,1
19,54.97960618075919,1048.5561685963278,0,2,1
48,106.24965074015853,5188.805792068073,0,2,1
3,43.3072811890835,60.54739534766193,0,0,1
20,89.51874662100657,1871.2312744835303,0,0,1
24,82.96283449385926,1970.5516700411529,0,2,0
54,106.34846083691153,5816.514370254543,0,0,0
33,33.22879476510383,1155.8119622426846,0,0,0
24,117.75899603450432,2683.62051278897,1,1,1
36,78.26286460403657,2841.4215362613086,0,2,1
38,119.54741523468144,4592.68276705829,0,1,0
25,111.15147258658509,2845.216451498183,1,1,1
18,42.15172721131058,699.8992305146193,1,0,0
66,25.61620099033131,1720.186410212578,1,1,1
54,45.563909379536156,2470.204790428239,1,0,0
35,72.75636489994199,2568.043219846286,0,2,1
61,37.159636706518995,2316.6846634273097,0,0,1
41,36.74597445179885,1564.4204451600747,0,1,1
33,66.25935471051531,2153.7715577087815,0,2,1
68,23.326797116935843,1599.49317054397,0,0,0
33,32.188808253227045,1064.287438217099,0,2,1
14,61.58613394079475,850.2382440576438,1,0,1
21,26.312990920796647,545.3840487782776,0,0,0
48,59.67550564555293,2874.2236330893725,0,0,1
20,67.40062659484451,1317.913451773527,0,2,0
8,65.12666140731145,565.1651301850355,0,2,1
7,106.91748574030873,811.8878145967536,1,0,0
67,73.00624550517324,4850.389621067312,1,0,0
17,66.79804624780434,1201.48328060963,1,2,0
33,61.07092453916662,1974.4058385811913,0,0,1
48,101.76233783044862,4929.481561446023,1,1,1
59,109.50566039998331,6526.657904128543,0,1,0
22,105.32424691971175,2312.4078974296667,1,2,0
30,87.35465781313908,2580.1148472949835,0,1,0
38,33.73617459686742,1252.5404847953805,0,0,1
51,47.68699694920123,2450.129687691706,1,2,0
54,24.606306368197743,1426.9732645031763,0,0,0
8,113.08240749901141,820.0226179402558,1,0,1
27,86.07985296909104,2329.168128406057,0,0,1
27,94.63628843132415,2550.7761801909014,1,2,1
21,51.1571739582229,1051.4745650342754,1,1,0
30,104.56535222773424,3132.9214697455964,0,0,1
28,45.96032837084785,1259.7793532912858,0,1,1
64,20.16437571124497,1352.6778161127984,0,0,1
69,57.641496252069395,4044.3879317261244,1,2,0
61,77.07614809590734,4706.051797407699,0,0,0
48,67.87048579655226,3250.7260675601938,0,1,1
19,106.2076142576597,1993.2928372641811,0,1,1
4,30.540528595616692,126.6761812701006,0,0,1
35,75.38234406337256,2730.773593661421,0,2,1
64,71.29793498209074,4557.881127043739,0,0,1
49,48.1392982172163,2316.8539927422858,1,1,0
17,102.22281125770105,1717.8996968135755,0,1,0
44,95.28486558822063,4230.207583970151,0,1,1
30,93.2859187331831,2762.690726793113,0,0,1
46,107.6192478269556,4948.800095306831,0,2,1
6,92.27846006215212,577.3149171310497,1,0,0
37,43.18412917147265,1565.7196365418367,0,1,1
24,90.5562711649691,2085.130221921006,0,1,1
46,50.77028133898438,2281.8636684006265,0,2,0
53,44.21746503474705,2300.587321397945,1,1,0
60,27.30035928996273,1626.580192104932,1,0,1
63,94.40285803476768,5949.595039260127,0,2,1
32,91.10009619498112,2956.3881431082514,0,0,1
33,43.44994776740937,1372.4854758912738,0,0,0
67,94.93790167241559,6394.753755587203,1,2,1
18,111.78408830935531,1993.5674140109054,0,1,1
25,30.802895749157926,680.7950287848557,1,0,1
54,43.263663838677495,2336.916530257795,1,1,0
58,95.02607940873155,5577.325983281428,1,0,1
67,47.450667350707825,3223.3504400803486,0,0,1
46,82.46639742837168,3789.640761153994,0,0,0
24,28.116422446371452,731.0826695193524,1,1,1
32,65.22024791035386,2096.6590671586887,0,1,1
47,93.9091421992953,4462.789124758001,0,1,1
23,88.65139430432525,1955.9019522510407,0,0,1
66,101.50721006758069,6636.992223697312,0,1,0
27,107.74521266031688,2945.5725411071917,0,0,1
2,97.31835012587582,271.6008249689928,0,1,1
17,87.15877429389259,1502.5639495417993,0,2,1
33,23.172249181603114,739.8173793241126,0,0,0
9,73.49666734094441,618.9442131398353,0,1,1
43,23.76977249148528,1006.3344589541267,0,2,0
48,100.80678171160226,4899.407371742746,0,0,1
39,52.07245244599576,2013.6992934794648,1,1,0
42,76.2429374117921,3254.5914333646388,1,1,0
26,47.94453073189026,1279.186455301874,1,0,1
50,98.25001443802935,4998.197011922817,1,1,0
25,108.65025266419025,2726.2694101815814,0,1,0
24,59.8642494213064,1434.2621680522514,0,0,1
13,106.2922393510989,1436.6827168482992,0,0,0
60,46.70750074563324,2755.686904973093,0,2,1
7,73.46609230755237,492.0617972973198,0,1,1
57,105.8761429838704,5950.9399128041205,0,0,0
36,52.588134261579036,1830.4566054644456,1,0,0
45,115.40422650780857,5289.358786837876,0,1,1
20,32.187950178138365,678.3747322448022,0,0,0
65,21.827506972350623,1350.2528740541438,1,0,0
8,110.41353525781906,943.0497317939053,1,1,0
16,26.864866614787225,394.65298852682844,0,1,1
14,119.18891959474917,1700.692404743158,1,0,1
15,115.1396861979106,1758.3959731884427,0,0,1
66,33.70209100363206,2307.5875412438513,1,0,0
32,73.75846256925658,2333.3843146911877,0,0,0
63,38.49202974671444,2387.986404684008,0,0,0
51,62.81551730301199,3069.1392567156886,1,0,0
25,26.14251292598327,647.4741668149231,0,0,0
58,42.39245877965895,2495.029100819431,0,0,0
63,56.32727963988995,3591.7173090765405,0,2,1
62,63.864750024605485,4022.234470506978,0,0,1
22,117.74962582088932,2604.982055159485,1,0,1
58,100.78656456839812,5870.8598008790495,0,0,1
58,93.74099443119462,5440.383699044969,0,0,1
49,73.70413147419742,3646.8751840133186,0,2,1
52,103.99977606043434,5361.276237287586,0,0,1
42,53.93228356557111,2194.732668208224,0,2,1
70,90.8899112773316,6320.856888941149,0,0,1
15,119.37839753781721,1801.357148946591,1,2,0
54,51.462890893519884,2713.974874959811,0,0,1
60,87.40175348839674,5212.443001323595,0,0,0
8,104.43148641523824,805.3871771701477,0,0,0
53,111.58075833506723,5952.871252306836,0,0,0
60,91.79326909401018,5540.60091866713,0,1,0
5,48.360792341713626,245.32826632151398,1,0,1
68,52.62821515689465,3601.271874750714,1,1,0
6,22.075803212396423,155.99434147272706,0,0,1
47,96.08859776715097,4497.983117199447,0,0,1
55,24.27396060619514,1307.9428680213464,1,0,1
40,106.46523546027457,4335.443739192101,0,1,1
52,31.86606144745388,1532.5788050274855,0,0,1
16,37.187651213592424,557.9372509706161,1,0,0
13,67.65264708322374,869.2952860114134,1,0,0
30,93.78804151687423,2841.638816872194,0,2,1
19,33.90022051990777,700.8795161834073,0,1,1
17,64.00710750664985,1180.9574078224548,0,0,0
63,68.28512744101047,4297.377494640154,0,0,0
19,41.22856416685913,782.1059379358318,1,0,1
58,31.555837668063173,1848.369087778423,0,0,0
55,103.64209229856395,5673.759029504572,0,1,1
62,70.24656497627655,4296.075164926352,0,0,1
23,21.4381235984153,488.26431945035097,0,0,1
9,100.29813013091038,939.9517857782834,0,1,0
12,118.07938054145848,1404.8063941886776,1,0,1
1,80.59261954142474,101.26438897732939,0,0,1
58,70.37083870840706,3988.067779444033,0,0,0
1,107.84158630449616,108.76181747546909,0,0,1
34,115.25167896845986,3898.3847553919186,1,2,0
48,95.45369159024605,4518.021008557251,0,1,1
1,64.54529297342879,97.40591815267115,0,0,1
16,79.22213993314405,1359.8365173940206,0,0,0
61,90.09353650179992,5545.203672893839,0,0,1
64,39.427357100180146,2576.0383046854513,1,0,0
63,64.7201032216438,4112.990354694399,0,2,0
69,102.9821264717285,7138.089299031579,1,0,0
22,85.4725348498443,1790.4241699177985,1,2,1
67,61.12040672118541,4088.669702815823,1,1,0
26,86.33625340146814,2270.1760767704654,0,2,1
16,31.822241207245987,535.7260983759792,0,1,1
51,60.149761056487634,3131.223123344355,0,1,0
57,99.31285379630563,5609.212783907762,0,1,1
29,42.0508787136648,1249.8390634666641,1,2,1
69,38.59615075574177,2609.8823519465514,1,0,0
47,115.08186599164314,5398.262722115274,0,2,0
62,40.989762958623075,2538.267153072867,0,1,0
69,46.09185796501681,3223.466745288607,0,0,0
16,116.96159389043379,1908.6331716669579,0,2,0
48,93.47085702650257,4492.617666657705,1,2,0
39,89.95965330235282,3400.8246027307246,0,1,0
33,105.29263838545813,3496.8987533697214,0,0,0
23,31.582308223679426,713.0092652926875,0,2,0
10,90.59562365800072,975.5465311609622,1,1,1
69,70.36886093282389,4913.126081581867,0,1,1
34,102.915064028414,3452.2110316207927,1,2,1
52,70.81417186651943,3711.4456490085395,1,0,1
10,82.0241354268912,850.3368845769323,0,0,1
19,67.77421263995359,1314.1692191399645,0,1,0
58,67.81589235558441,3953.300810361176,0,0,0
1,96.79699780618316,128.30472712959568,0,1,1
69,82.85664006472831,5792.182455244953,1,0,0
4,83.32632016094104,305.7362639824373,0,0,0
16,65.02824838315257,995.1614929675851,0,0,0
24,73.11094963375277,1793.7985479853417,0,0,0
2,94.57176662047873,94.97542850939953,0,0,1
32,102.59409191119182,3315.712134186282,0,0,1
24,89.65614021440462,2175.594313572813,0,0,1
12,112.4072988845683,1231.6124604342085,0,1,1
50,102.0324088147201,5069.803607755486,0,2,1
35,76.18637898095184,2745.3219906137138,0,0,0
33,87.14060726437368,2802.7812131885344,0,1,0
33,112.6308276921196,3727.446894587418,0,0,1
61,81.91680442430584,4946.679804882967,1,0,1
51,102.48069479798306,5191.068119494047,0,2,1
43,88.8810503589987,3917.7011064583116,0,0,1
12,75.19363610604665,908.4958505618669,0,0,0
67,44.183819541535314,2986.163443711012,0,0,1
65,62.599751946842815,4063.3606477234575,0,2,0
33,116.77428248337156,3777.794656246381,1,0,0
40,85.77653832726,3371.815372745517,0,1,0
43,76.43953803389897,3345.8216517397673,0,0,0
44,113.29566255282273,4992.653759741486,0,0,1
29,78.65117810374487,2242.369747210777,0,2,0
13,72.6082518417403,942.8046838797809,0,0,0
12,95.93108551502053,1184.2529243444437,0,1,0
46,91.26656189865444,4220.98628971727,1,1,1
2,39.31600084084327,40.142541670894275,0,0,1
35,67.13082745741212,2270.8137970625667,0,0,1
8,67.25154428195853,517.660027094591,1,1,1
26,57.822451524334475,1558.8361714295318,1,0,0
34,71.72934821522531,2481.5166875730215,1,0,1
7,61.31073977271442,449.695341655259,0,0,0
68,39.934548947118316,2707.0053078307396,0,1,1
58,61.23664872746811,3525.888288090119,1,2,1
29,27.22769475731766,781.9867277394941,0,2,0
36,77.57858627744116,2831.917689202988,0,0,1
21,105.3654548941112,2263.1840833881233,1,1,0
36,92.52870843545553,3317.9441654302855,0,0,1
10,56.03940400541112,687.2056055304909,1,0,1
24,28.707120557730818,693.5910821743925,1,2,1
64,40.21493992252708,2556.408382544988,1,1,1
49,74.54903404948357,3726.686140355172,0,1,1
36,40.70570833830328,1363.4906736908044,0,0,1
24,74.39731112849675,1809.5371518121897,1,2,1
23,43.15990247638989,989.0378373253026,1,2,0
62,104.89238694760728,6575.73720674522,0,0,1
37,59.72714728404597,2240.1506174422107,0,0,1
12,44.555062594449105,541.6158596254721,1,0,1
55,101.23261802470616,5600.925681236166,0,0,1
13,54.283896480545074,652.9115386410483,0,2,1
23,31.148768783878193,764.7626737531414,0,0,1
30,77.04094914036416,2243.9991863602513,0,1,1
17,78.15642044379888,1346.5840165852992,1,1,1
62,91.46956752357342,5672.893903515853,0,1,0
13,44.02194332083856,484.13253435233,0,0,0
59,64.37713390922451,3801.6980035490487,0,2,1
19,48.23679190426562,930.5983837663618,0,0,1
49,28.09537361156881,1343.929508268982,0,1,0
12,107.66138270158916,1241.3154924769397,1,1,1
61,92.88698044883411,5690.714677550301,0,0,1
19,50.14630594588007,970.8955630297619,0,2,0
9,79.93729928719864,730.7766480474899,0,0,1
71,40.126378813447246,2849.4149843724986,0,1,0
28,109.02366217957709,3024.3343901793787,0,1,1
52,31.49063433619103,1751.122058115172,0,1,1
16,20.38371455078009,311.22289080007704,0,0,0
69,70.20081977391821,4800.600896226917,0,1,0
12,78.31278234528693,942.4747519039499,0,1,0
25,77.89653202958044,1938.366248423955,1,0,0
52,25.451192743782627,1307.386382255872,1,1,0
53,51.404380691843244,2818.1459811979917,0,1,0
23,69.91989468413318,1551.6701868348327,0,1,0
16,41.65791856272409,668.3985504432708,1,0,0
57,107.26258854858963,6060.833896023183,0,0,1
39,28.710928946143405,1092.6749903297914,1,0,1
53,68.73844416720428,3729.9433383565784,0,0,0
42,89.14160575131521,3758.019694341334,0,2,0
58,46.17511001344825,2691.6249105394177,1,0,1
39,82.42407369975182,3167.5648128839284,0,0,1
14,102.93851501423745,1419.9081322634852,0,1,0
5,39.033697509504755,286.32456362544895,1,0,1
35,111.72205918248628,3935.2401837088655,1,0,1
18,75.3558532662358,1339.4196162100993,0,1,0
9,49.92320043010606,471.3391667194515,0,1,0
58,63.08582753822707,3672.3611903777305,0,1,1
17,51.2191883786388,828.7542197442658,1,1,0
7,92.51111599333161,629.1373995272177,1,0,0
46,99.63006634151321,4695.709856815001,1,2,0
13,103.2937392318661,1362.4187391865914,1,0,1
40,118.57682495857412,4664.620897777488,0,0,1
42,99.12842924966836,4188.904535898391,1,0,1
9,80.13840706885634,786.4000772711045,1,0,1
50,53.92202983917838,2650.8825829512825,1,0,1
27,74.45954487107494,1987.5655966848494,0,1,1
66,24.10681727904054,1663.7384881646017,1,1,0
5,94.48250755299131,474.15816120626806,0,0,1
29,64.59555450921017,1866.1271696275305,0,1,1
37,22.00232297321876,747.2830485151702,0,1,1
38,26.25069415104108,1051.0546931636045,0,0,0
8,58.74664638217566,460.54971921987396,0,0,1
65,78.34215190184351,4983.69072686199,1,0,1
17,66.42039489521267,1050.5148374803027,0,0,1
71,81.9204317292155,5788.271622015165,0,1,0
45,68.02942587913557,3007.6820499029686,0,0,1
4,86.17038454813468,298.8834505075398,1,0,0
36,41.91260646708009,1626.0873275800548,0,0,0
70,31.28431871836214,2225.278460968655,0,2,0
31,79.64339546256599,2340.078008189829,0,0,1
19,68.46895169363074,1285.193986617959,0,1,0
61,22.686765404493528,1379.418019306412,1,0,1
54,58.04818854930359,3060.755484965562,1,1,1
39,30.61255854909955,1220.6090986916797,1,2,0
19,73.13568317526952,1287.508514073125,0,0,0
39,59.577767966043076,2378.3802985641983,0,2,1
67,81.31519111030178,5520.1943034763635,0,1,1
45,100.56022187702384,4642.839238413922,0,1,1
13,49.96686838414908,570.8528262822924,0,1,1
58,116.21021041650275,6671.647336232153,0,0,0
20,73.56345005875744,1505.9026028877854,0,0,1
61,81.8290798754788,5050.707875157505,1,2,1
39,88.0672373225737,3475.069888648303,1,0,1
1,86.67315298575897,140.659003345472,0,2,0
3,71.09707430450621,282.13259101177033,0,1,1
62,62.87642911146835,3908.4511246874995,1,0,0
63,25.37819641773779,1588.198878646451,0,1,0
25,22.208584530117975,486.80575285667913,1,2,1
56,55.79611945327647,3109.6774191226923,0,0,1
33,53.366089063369266,1753.836518974641,1,0,0
38,58.769515483900676,2185.757359722013,1,1,0
6,33.836820088819,201.10971047506084,0,2,0
58,93.81682705368436,5388.257020759719,0,1,1
44,105.69644147762389,4706.31004183281,0,0,0
45,113.8714635374035,5145.507082642115,1,0,1
32,69.23623035196258,2192.5791868208867,0,2,1
45,90.08656991254286,4063.337676455733,0,0,1
61,105.55511234358725,6383.607364840915,0,1,1
47,61.829111109348595,2855.783583983421,1,0,1
21,50.94127948704444,1038.0741373140722,1,0,1
36,113.67245558534901,4082.611997552109,0,0,1
19,71.56765510770731,1366.8455376708903,0,0,0
20,69.7253886590878,1401.7655915265564,0,1,1
57,37.841609656349576,2091.032867087061,0,0,0
18,30.815501457335674,550.6425820874342,0,0,1
47,104.21068624835117,4856.9994876434275,0,0,0
49,81.4133176187518,3818.8042264463065,1,2,1
14,52.58245840194487,889.9336942033757,0,1,1
15,39.17362173902664,547.671789787754,1,0,0
31,75.54972801696314,2304.883960818617,0,0,0
1,78.39192892611354,11.070122808083937,0,1,1
54,40.699360124505816,2144.8907989884556,0,2,0
3,105.1405747891474,305.98810862173633,0,0,0
16,28.42643661558511,522.4136520553632,0,0,1
57,55.609308516642166,3160.0131518712196,1,1,0
12,88.03844137625221,1040.2831810532928,0,1,0
16,47.41203638192007,818.6062809617905,0,1,1
24,102.76751947812718,2440.2006409482983,1,0,1
28,93.98678266004035,2632.687384259913,0,0,0
8,98.90228445481343,745.1397723778583,0,0,1
36,31.910653587671625,1233.040204203807,0,0,0
8,34.054712799554295,324.86321439822666,1,2,1
58,48.64737377445836,2813.8983104419167,1,0,0
60,71.8077165197561,4288.49082709183,0,1,0
50,94.80160766994024,4738.488410665175,0,1,0
28,103.65308907609035,2895.3673651999898,1,0,1
41,90.43353159571805,3630.4338121583064,1,2,1
64,112.85968815306383,7277.153414367353,0,1,1
27,93.87435096159302,2523.2505869507922,1,2,1
63,50.626788700461475,3284.40470693138,0,0,0
17,46.50812843385726,811.7289689137025,0,0,1
33,89.61924503010898,2831.380753487112,0,0,1
29,39.28705686896143,1075.2434767074287,0,0,1
13,29.27148108102699,273.22649871743783,0,0,1
46,73.22228748561939,3303.522821622547,1,2,1
35,102.16415697789553,3494.0654105168746,0,0,1
6,30.137984246986353,193.45628000101016,0,2,0
69,99.18913237957292,6828.245867110219,0,0,1
47,101.1572004351548,4791.41541635372,1,1,0
25,68.22740000815435,1703.7800210701605,1,0,1
66,25.73103100104868,1686.2325926619712,0,0,1
10,37.45898512471864,474.7501987106536,0,2,1
56,90.74262751619324,5092.728272599747,0,0,0
30,91.17779449909494,2731.3082590977197,0,1,1
5,109.83552751676653,506.50559158043046,0,1,1
