age,income,loan_amount,credit_history_length,num_existing_loans,default
28,119855,21288,25,4,0
43,31969,5579,19,1,1
50,35253,11894,21,2,0
62,31476,13692,5,2,1
22,97804,42971,24,1,0
60,133569,12431,26,4,1
20,94857,43879,0,0,0
32,103074,38028,9,2,0
36,78572,46609,14,0,0
49,120770,18246,24,4,1
44,92342,27102,14,2,0
38,35470,15444,21,0,1
25,38552,14762,27,4,0
22,20119,12370,12,3,1
42,26737,19007,1,1,0
31,129052,33966,18,1,1
67,143075,34692,3,4,1
29,116984,16573,15,4,1
55,80267,15469,16,2,0
53,23573,47536,3,0,1
43,126077,29180,13,2,1
48,123920,26932,11,4,1
20,117086,25804,4,1,1
44,104390,13401,3,0,0
57,128176,46818,12,2,0
32,105865,39784,21,4,1
37,35639,27138,0,0,1
39,147708,41591,23,2,0
30,88223,38432,24,1,0
26,117590,10101,2,0,0
55,38489,27559,13,4,0
55,123056,18784,13,3,0
43,139224,17891,5,3,0
47,91518,11387,1,3,1
27,62049,34866,17,4,1
31,79912,46245,11,4,1
47,34318,13590,22,4,1
34,87466,38505,18,2,1
27,130059,22646,0,4,1
42,51666,36672,21,2,0
46,91956,48775,6,0,1
42,148932,24015,4,1,0
63,65045,19876,12,0,0
34,42004,37779,11,3,1
21,43561,23118,23,0,0
38,92214,24654,12,3,0
46,122266,35954,3,4,1
33,22234,29002,10,1,1
68,96445,47869,7,3,1
27,107306,37172,12,0,0
66,36733,39052,13,2,1
52,30280,8140,22,2,0
22,38639,39289,4,1,1
35,40902,37965,5,0,0
37,53666,19505,16,4,1
65,60221,8106,13,2,0
32,115760,38154,28,3,1
37,111997,33451,19,2,0
26,81120,9908,13,1,1
58,33816,14750,9,2,1
35,35807,8012,11,1,1
27,119755,7264,6,3,1
67,121191,23225,10,3,1
54,64603,15367,8,2,1
59,37506,31026,29,4,1
29,53910,17385,25,1,0
32,92150,30044,9,0,0
19,77008,5246,2,2,0
57,59261,39216,11,2,0
43,138348,35392,22,2,1
25,131369,46601,25,3,1
58,54053,10569,2,3,1
25,34179,31893,16,0,0
64,113783,41054,7,3,1
56,54424,20014,21,3,0
39,35406,7071,6,4,1
65,79941,13196,20,2,1
49,77756,44131,21,1,1
61,65695,16847,11,1,0
64,30042,39826,10,0,0
57,107998,47122,11,0,0
25,132987,45132,22,1,1
53,109792,12682,10,2,0
67,145090,32778,19,2,0
39,123519,48898,26,4,1
19,72902,48963,26,1,0
27,92079,26191,3,1,0
25,146757,13399,1,4,1
56,111986,12306,2,4,1
59,141135,14326,21,1,0
48,93351,23138,4,2,0
53,43473,12457,13,3,0
37,141442,42991,23,1,1
51,38240,49545,21,4,1
49,33021,9609,11,2,1
64,147110,16409,0,2,1
54,110193,37604,17,3,0
29,82476,37851,8,4,1
33,97184,48199,29,2,1
27,88180,35968,26,0,1
55,37790,43732,4,2,1
67,139599,47429,24,0,1
63,80927,9648,20,3,0
43,78785,43184,22,3,0
68,20309,34576,1,1,1
40,144222,14187,6,2,1
56,131945,31826,10,3,1
43,54230,37528,0,3,1
65,140771,42581,29,4,1
51,129132,16865,9,4,1
56,131357,9618,1,2,0
22,82745,15314,20,0,0
69,57857,25020,29,1,0
65,140870,35100,27,2,0
19,68188,44286,7,2,1
20,114548,7901,23,2,1
45,91490,12349,20,3,1
64,125093,29670,21,0,1
25,58774,39966,12,3,1
19,64551,8557,14,4,1
55,51640,7802,22,2,0
49,148366,40506,28,0,0
63,90796,31531,5,3,0
41,53157,17040,3,1,0
18,138393,6315,11,4,1
23,115764,27785,18,4,1
36,144077,18211,12,1,0
31,63949,16653,25,0,1
20,39699,44409,25,4,1
56,64930,20759,17,2,0
40,77696,37421,9,1,1
36,55589,16139,0,0,1
58,93625,19988,8,0,0
57,110582,27395,7,4,0
19,126974,48494,24,2,0
66,83557,9774,26,2,0
31,95322,26249,15,3,1
41,125174,34232,2,3,1
20,84279,7248,11,3,1
34,142039,6830,26,0,1
60,136359,24715,13,2,0
43,89705,31648,20,4,1
44,32915,15320,27,1,1
43,132310,47288,29,3,0
67,140953,40380,8,1,1
61,130916,7777,15,4,1
42,88883,18424,6,2,1
51,108522,27712,0,0,1
61,117422,22879,19,0,0
30,112559,40210,27,2,0
35,89871,8499,6,0,0
60,109957,19090,17,1,1
59,102260,25803,4,0,1
35,30311,46956,7,0,0
42,44013,46949,23,4,1
33,115686,36561,4,0,0
28,143073,18729,24,1,0
27,64232,43927,8,4,1
41,93046,12307,14,2,0
30,84183,43303,5,1,0
27,60313,9924,20,1,0
52,131663,23372,14,4,1
47,140328,35334,8,1,1
35,147985,45155,26,0,0
28,22437,9809,0,2,0
23,50868,9026,0,3,1
51,131130,19110,10,1,1
30,59299,43387,12,0,0
52,94144,34589,5,1,1
41,134145,41688,12,1,0
65,140258,21775,5,1,0
46,130629,15629,1,1,1
42,142893,41731,17,2,1
56,117994,13853,26,1,0
59,100098,47947,24,2,1
56,134605,32563,24,1,1
46,85395,29641,21,2,1
53,58379,32795,28,0,1
39,23791,42876,15,1,1
47,130907,6917,7,0,0
43,36924,37914,17,3,1
64,118077,27131,29,4,1
55,53390,24606,25,4,1
36,138368,18511,13,2,1
47,29610,47128,1,2,1
65,94630,19524,28,2,0
51,85654,11496,25,0,0
29,142420,49250,16,1,0
46,147324,20540,24,3,0
45,111363,42693,23,0,0
53,101178,42744,26,0,0
54,129275,30186,11,0,1
44,144304,11675,0,1,0
29,89036,35003,16,3,1
22,47936,41576,18,2,1
52,69594,33465,14,1,1
52,36768,29931,19,2,1
59,87132,14322,19,2,0
35,27053,18757,1,2,1
30,96011,46271,10,0,1
52,102752,12561,4,0,0
24,75410,24796,29,0,0
46,62274,12990,3,0,0
19,28267,33917,28,3,1
24,93790,24491,0,1,1
41,121133,44631,3,3,1
52,62487,22796,5,3,1
36,143675,28696,26,1,0
25,104516,44755,1,1,1
34,129092,9037,24,2,0
46,51737,44005,13,4,1
63,132255,20392,21,0,1
22,75533,47158,23,4,1
69,41914,33261,24,1,1
24,72245,26327,15,2,1
49,85519,48308,12,4,1
65,86573,8182,16,1,0
42,78033,16489,6,2,1
51,102840,12500,3,0,0
62,133071,45269,1,3,1
63,109918,11611,21,1,0
37,89573,26274,19,4,1
69,111444,8965,14,4,0
59,63008,32441,1,0,1
45,84305,35872,21,3,1
48,126534,44651,4,0,0
45,36031,43460,11,3,1
59,93456,28078,16,1,1
50,38083,15126,16,3,1
51,116388,31312,22,0,0
62,127530,46964,22,2,1
49,140441,48543,17,1,1
25,105523,10622,5,2,0
38,145779,21160,29,1,0
45,142579,34258,12,4,0
55,135020,44146,29,3,0
57,125804,46113,22,3,0
30,140996,31374,14,4,1
32,33315,49290,25,0,1
60,101850,43668,0,4,1
68,128292,26240,20,2,0
22,67682,48323,4,1,1
32,115307,10062,18,2,0
20,121118,25257,22,3,1
47,117522,49637,21,2,1
39,55927,5297,13,2,0
67,92133,8428,6,4,0
29,66429,40576,5,4,1
31,82787,23780,13,4,1
36,131078,44420,24,3,1
52,63077,20047,19,1,0
25,111358,30779,16,1,1
24,37302,49647,27,1,1
69,91456,45475,13,2,0
63,129458,47332,6,4,1
53,131513,14354,12,0,0
50,36755,44028,14,4,1
69,59421,49458,2,2,1
25,77112,25125,16,1,0
18,109988,5582,29,4,1
21,143268,21285,12,1,0
55,111401,18266,1,2,0
23,63059,13666,21,4,1
61,127728,41803,25,1,1
43,63567,31062,24,2,0
47,59160,9022,26,0,1
58,114722,38941,20,3,1
49,142793,28249,2,4,1
64,74602,18054,12,3,1
54,36421,7375,14,4,1
57,104031,8897,0,4,1
47,94802,48767,17,1,0
30,126172,9731,29,4,1
27,83370,26438,0,3,1
68,37245,13496,26,2,0
52,100025,32794,0,3,1
27,138179,32318,28,0,0
39,60777,26749,7,2,0
39,36675,7989,1,0,1
33,93465,20101,10,3,1
49,105841,9359,7,2,1
52,47086,6926,0,0,0
46,67084,48341,1,4,1
55,96706,5656,21,4,1
22,20980,12921,24,3,0
39,99994,47821,5,1,0
30,43407,12867,8,3,1
18,133230,34791,21,0,0
64,136164,40854,16,1,0
64,32575,45329,13,4,1
57,116511,43481,21,4,1
57,39187,37378,15,0,0
23,108129,23924,23,1,1
33,96462,15051,20,0,0
32,38065,19641,22,2,1
50,117719,45090,18,2,1
48,48383,28503,16,2,1
58,38102,9074,22,2,0
63,64595,28931,17,0,0
58,47366,29443,21,2,1
31,91637,38173,23,4,1
31,96980,26978,22,0,1
55,69278,36951,9,2,1
55,125816,22699,10,4,1
33,94757,7714,13,2,1
54,30212,36821,25,0,1
20,65755,9720,6,3,0
21,95969,28713,0,2,1
52,75188,30889,8,1,1
48,40311,7854,25,2,0
30,132934,45318,21,2,0
20,139611,46569,20,3,1
68,23733,35106,6,4,1
42,46361,39664,5,0,1
27,125623,25610,4,3,1
48,141064,47618,1,1,1
63,149714,13344,21,1,1
37,26452,40823,15,0,1
36,134403,12398,21,2,0
53,117558,48960,6,4,0
66,129267,22336,14,3,1
34,120943,38486,10,3,1
24,86021,11640,11,4,0
59,67991,44631,13,0,1
63,124862,47148,25,1,0
23,101046,17083,3,2,0
47,97391,42796,4,4,1
25,104128,25736,20,3,1
68,72170,9267,27,0,0
59,40087,22876,14,3,0
63,91902,47225,23,0,0
45,32806,41651,8,0,1
51,81063,11100,24,4,0
41,104244,44603,1,2,1
18,60357,39851,28,3,1
55,140915,23737,2,1,0
33,52216,44706,19,2,1
59,72019,13016,0,4,1
56,33184,49396,18,1,1
47,37096,42407,18,4,1
25,92745,33773,6,1,1
59,94980,9413,6,0,1
24,147003,10416,18,0,1
69,94820,25097,11,2,0
58,143578,17180,21,0,0
21,88804,7029,9,4,1
25,133580,12386,11,2,1
20,44035,37071,24,0,1
55,142689,40441,15,0,0
48,41629,28494,22,4,1
47,58652,8383,19,4,1
69,137396,38521,2,3,1
64,37308,35538,7,0,1
43,93730,19876,2,3,1
22,31907,31985,7,1,1
46,107093,48365,14,3,1
69,50796,26164,18,1,1
39,35255,6109,8,1,1
30,149020,29036,5,1,0
45,139352,6465,2,0,0
53,48223,36250,8,2,0
47,86096,29114,29,1,0
33,25897,36582,26,1,1
43,43387,35622,26,2,1
60,59989,12403,7,1,0
65,108821,18292,10,2,0
32,98376,43915,20,4,1
62,123348,43783,28,0,0
43,99542,19317,23,0,1
47,31937,33852,15,0,1
45,90888,46616,10,2,1
52,118537,11457,14,3,0
62,38563,15912,23,1,1
61,110152,47002,1,3,0
40,85883,38868,2,4,1
50,125420,37037,0,4,0
28,117917,16040,20,0,0
18,115070,29572,9,2,1
27,35133,39221,0,0,1
36,28017,15069,8,4,1
46,63366,24433,25,3,1
35,51767,15238,19,4,1
32,137703,17646,25,4,0
58,33340,49039,4,3,1
64,62931,15503,22,3,1
55,43175,19586,22,1,1
66,83731,6463,8,1,1
43,34245,41366,8,0,1
27,148720,23282,3,3,1
47,61044,16399,27,1,0
55,24149,39704,7,1,1
45,82199,12233,8,1,1
47,91080,44646,21,0,1
24,35871,36316,9,2,1
35,34602,43174,13,0,1
44,53378,18131,23,3,0
25,148855,23433,16,3,0
56,39003,48957,10,3,1
58,102015,44336,19,4,1
42,45561,11951,2,3,1
68,65088,15403,19,2,0
65,149775,7020,17,1,0
48,101467,35435,17,1,1
24,102055,36562,19,1,0
30,119499,29986,27,0,0
60,100403,24801,10,3,1
25,137213,35102,7,4,1
31,65089,30131,17,0,0
19,118386,46239,9,3,1
30,45527,43140,20,3,1
35,72555,10039,0,0,1
25,86760,33661,20,2,0
69,103773,6885,12,0,1
59,82753,22849,5,1,1
42,86684,20803,0,0,1
32,109266,35869,1,0,0
24,135668,48004,17,2,1
27,70329,11893,14,2,0
42,65013,9603,17,0,0
34,141539,33207,27,4,0
26,103739,18941,16,3,1
69,24053,27854,2,3,1
65,107183,13023,6,1,1
62,48228,17506,3,1,0
69,111759,24345,22,3,0
59,33415,27265,0,2,1
20,121726,27939,10,3,1
35,52749,47327,6,1,0
21,116440,11299,25,3,0
29,64354,21427,22,4,1
49,26335,20701,19,0,0
43,88880,46258,11,2,1
45,106986,9779,18,2,1
48,64950,38617,29,4,1
22,98349,48486,14,2,1
